block,parameter,value,source_or_assumption,source_note
baseline_parameters,contact_matrix.rows[0][0],5.5,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[0][1],2.2,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[0][2],1.2,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[0][3],0.5,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[0][4],1.0,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[1][0],1.8,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[1][1],6.2,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[1][2],2.6,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[1][3],0.8,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[1][4],1.2,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[2][0],0.7,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[2][1],2.1,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[2][2],9.0,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[2][3],2.8,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[2][4],1.4,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[3][0],0.3,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[3][1],0.8,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[3][2],3.0,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[3][3],10.5,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[3][4],2.6,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[4][0],0.4,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[4][1],0.7,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[4][2],1.3,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[4][3],2.5,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.rows[4][4],6.0,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,transmission.beta_S,0.03,reported_pertussis_surveillance,Baseline scenario value retained for deterministic scenario analysis; reported-case calibration is documented separately.
baseline_parameters,transmission.fitness_R,0.7,cdc_mrbp_surveillance,Relative resistant-strain fitness is treated as a scenario parameter because public surveillance focuses on detection rather than transmission fitness.
baseline_parameters,transmission.relative_infectiousness_asymptomatic,0.35,who_pertussis_position,Assumption for subclinical/mild transmission under aP-like protection; retained in sensitivity analysis.
baseline_parameters,transmission.seasonal_amplitude,0.18,reported_pertussis_surveillance,Country profiles override this from circular seasonal concentration of reported cases.
baseline_parameters,transmission.seasonal_phase,30,reported_pertussis_surveillance,Transmission modifiers are overridden or interpreted using processed reported-case seasonality and scenario evidence.
baseline_parameters,transmission.multi_year_amplitude,0.0,pertussis_cycle_model,Weak phase-locking term; main interpretation remains susceptible depletion/replenishment plus seasonal forcing.
baseline_parameters,transmission.multi_year_period_years,4.0,pertussis_cycle_model,Country profiles infer 3-5-year periodicity from annual surveillance peaks when visible; otherwise use 4 years.
baseline_parameters,transmission.multi_year_phase,0,reported_pertussis_surveillance,Transmission modifiers are overridden or interpreted using processed reported-case seasonality and scenario evidence.
baseline_parameters,importation.enabled,True,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.rate_per_100k_per_year,0.2,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.resistant_fraction,0.3,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.age_distribution.infant_0_2m,0.03,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.age_distribution.infant_3_11m,0.07,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.age_distribution.child_1_6y,0.22,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.age_distribution.school_7_17y,0.43,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,importation.age_distribution.adult_18plus,0.25,reported_pertussis_surveillance,Low-level importation is an explicit deterministic seeding device to avoid numerical extinction in long-run scenario simulations.
baseline_parameters,natural_history.latent_duration,8.0,cdc_clinical,Uses 8 days within CDC's common 7-10 day incubation range.
baseline_parameters,natural_history.infectious_duration_symptomatic,21.0,cdc_clinical,"Uses 21 days, aligned with infectiousness through roughly the third week after paroxysm onset."
baseline_parameters,natural_history.infectious_duration_asymptomatic,14.0,cdc_clinical,Shorter infectious duration for mild/asymptomatic infections; sensitivity range should be retained.
baseline_parameters,natural_history.recovered_immunity_duration,3285.0,cdc_clinical,Uses 9 years within CDC's 4-20 year observational range; longer natural-immunity values remain sensitivity cases because the current ODE has no explicit immune-boosting state.
baseline_parameters,natural_history.vaccine_protection_duration,1825.0,ap_waning_meta_analysis,Uses 5 years to approximate rapid aP waning; meta-analysis shows marked decline by 3-7 years.
baseline_parameters,immunity_model.mode,recent_waned_proxy,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.waned_relative_effect,0.35,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.waned_vaccine_duration,3650.0,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction,0.35,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction_by_age.infant_0_2m,1.0,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction_by_age.infant_3_11m,0.85,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction_by_age.child_1_6y,0.55,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction_by_age.school_7_17y,0.25,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,immunity_model.initial_recent_fraction_by_age.adult_18plus,0.1,ap_waning_meta_analysis,Recent/waned proxy states encode published evidence of waning acellular-vaccine protection.
baseline_parameters,observation_model.enabled,True,reported_pertussis_surveillance,Observation cascade documents how symptomatic infections are converted to reported cases for country calibration.
baseline_parameters,observation_model.structure,symptomatic_to_care_to_test_to_report,reported_pertussis_surveillance,Observation cascade documents how symptomatic infections are converted to reported cases for country calibration.
baseline_parameters,observation_model.note,"Runtime reported cases use the age-specific final reporting probabilities in age_groups/reporting_rate, with calibration allowed to multiply those probabilities. The explicit care/test/report split is retained as the intended observation contract for country calibration.
",reported_pertussis_surveillance,Observation cascade documents how symptomatic infections are converted to reported cases for country calibration.
baseline_parameters,reporting_multiplier,1.0,reported_pertussis_surveillance,Central reporting multiplier is explicitly set to 1.0; sensitivity scenarios bracket under-ascertainment.
baseline_parameters,resistance.target_prevalence_at_analysis_start,0.3,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,resistance.importation_fraction,0.3,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,resistance.rebalance_after_burn_in,True,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,resistance.prevalence_anchor_rate_per_year,2.0,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,resistance.anchor_during_dynamics,False,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,resistance.initial_resistance_prevalence_deprecated,True,mrbp_country_evidence_synthesis,Country-timeline scenarios use the resistance evidence table; generic resistance levels are declared scenario contrasts.
baseline_parameters,calibration.enabled,False,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.calibration_country_profile,Australia,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.objective,negative_binomial_annual_reported_cases,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.dispersion,50.0,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.maxiter,30,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.relative_incidence_tolerance,0.25,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.fit_parameters[0],transmission.beta_S,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.fit_parameters[1],reporting_multiplier,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.fit_parameters[2],transmission.seasonal_amplitude,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.fit_parameters[3],importation.rate_per_100k_per_year,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,calibration.fit_parameters[4],resistance.importation_fraction,reported_pertussis_surveillance,Calibration objective compares annual reported cases against processed surveillance time series.
baseline_parameters,demography.enabled,True,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.fixed_population_profile,True,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.fixed_population_reference_age_group,infant_0_2m,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.age_bin_durations_years.infant_0_2m,0.1667,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.age_bin_durations_years.infant_3_11m,0.75,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.age_bin_durations_years.child_1_6y,6.0,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.age_bin_durations_years.school_7_17y,11.0,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.age_bin_durations_years.adult_18plus,62.0,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.birth_entry.S,0.92,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,demography.birth_entry.V,0.08,wpp_2024,Country profiles and fixed-population turnover use WPP age denominators.
baseline_parameters,routine_vaccination.enabled,True,who_immunization_data,Routine coverage relaxation targets are generated from DTP coverage and schedule metadata.
baseline_parameters,routine_vaccination.target_relaxation_rate_per_year,2.0,who_immunization_data,Routine coverage relaxation targets are generated from DTP coverage and schedule metadata.
baseline_parameters,initial_conditions.initial_exposed_per_100k,1.5,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.initial_infectious_per_100k,0.6,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.initial_resistance_prevalence,0.3,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.seed_age_distribution.infant_0_2m,0.05,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.seed_age_distribution.infant_3_11m,0.1,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.seed_age_distribution.child_1_6y,0.22,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.seed_age_distribution.school_7_17y,0.38,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,initial_conditions.seed_age_distribution.adult_18plus,0.25,model_design_protocol,Initial exposed/infectious seeds are declared analysis-protocol values and are followed by burn-in before analysis.
baseline_parameters,treatment.treatment_rate_symptomatic,0.05,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,treatment.treatment_rate_asymptomatic,0.005,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,treatment.sensitive.infectious_duration_reduction,0.6,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,treatment.sensitive.infectiousness_reduction,0.5,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,treatment.resistant.infectious_duration_reduction,0.1,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,treatment.resistant.infectiousness_reduction,0.05,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.
baseline_parameters,PEP.coverage_household_contacts,0.3,cdc_treatment_pep,Approximation of household/close-contact PEP reach in an age-structured model without explicit households.
baseline_parameters,PEP.effectiveness_sensitive,0.7,cdc_treatment_pep,PEP coverage and effectiveness are scenario-level approximations of close-contact prophylaxis guidance.
baseline_parameters,PEP.effectiveness_resistant,0.1,cdc_treatment_pep,PEP coverage and effectiveness are scenario-level approximations of close-contact prophylaxis guidance.
baseline_parameters,PEP.activation_prevalence,2e-05,cdc_treatment_pep,PEP coverage and effectiveness are scenario-level approximations of close-contact prophylaxis guidance.
baseline_parameters,reporting_rate_sensitivity.medium.multiplier,1.0,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.medium.age_multipliers,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.medium.time_variation,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.high.multiplier,1.5,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.high.age_multipliers,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.high.time_variation,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.low.multiplier,0.5,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.low.age_multipliers,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.low.time_variation,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.multiplier,1.0,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.age_multipliers.infant_0_2m,1.2,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.age_multipliers.infant_3_11m,1.1,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.age_multipliers.child_1_6y,0.8,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.age_multipliers.school_7_17y,0.7,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.age_multipliers.adult_18plus,0.6,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.age_biased.time_variation,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.multiplier,1.0,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.age_multipliers,,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.time_variation.start_time,0,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.time_variation.end_time,10950,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.time_variation.start_multiplier,0.5,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,reporting_rate_sensitivity.time_varying.time_variation.end_multiplier,1.5,reported_pertussis_surveillance,Reporting scenarios bracket plausible under-ascertainment and surveillance changes.
baseline_parameters,baseline_vaccine_scenario,symptom_protective,model_design_protocol,Baseline scenario selection is explicitly declared for reproducible runs.
baseline_parameters,baseline_resistance_scenario,country_timeline,model_design_protocol,Baseline scenario selection is explicitly declared for reproducible runs.
baseline_parameters,baseline_country_profile,China,model_design_protocol,Baseline country profile is explicitly declared for reproducible runs.
vaccine_scenarios,vaccine_scenarios.no_vaccine.VE_sus,0.0,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.no_vaccine.VE_sym,0.0,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.no_vaccine.VE_inf,0.0,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.no_vaccine.VE_dur,0.0,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.no_vaccine.description,No vaccine protection.,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.symptom_protective.VE_sus,0.15,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.symptom_protective.VE_sym,0.85,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.symptom_protective.VE_inf,0.08,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.symptom_protective.VE_dur,0.0,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.symptom_protective.description,aP-like disease protection with limited infection/transmission blocking.,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.infection_blocking.VE_sus,0.7,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.infection_blocking.VE_sym,0.85,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.infection_blocking.VE_inf,0.2,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.infection_blocking.VE_dur,0.1,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.infection_blocking.description,Stronger reduction in susceptibility to infection.,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.transmission_blocking.VE_sus,0.3,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.transmission_blocking.VE_sym,0.85,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
vaccine_scenarios,vaccine_scenarios.transmission_blocking.VE_inf,0.7,who_pertussis_position,Scenario values encode mechanisms rather than product-specific effectiveness; aP-like scenario has high symptom protection and weak transmission blocking.
