iso3,country_name,VaccinePregnant,VaccinePregnantTime,VaccinePregnantSource,VaccineAdult,VaccineRisk,TimeLastShot,TimeFirstShot,VaccineDose1,VaccineDose2,VaccineDose,source_type
COL,Colombia,1,26-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,18,2,4,4,4,measured
COM,Comoros,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
CPV,Cabo Verde,0,,,0,0,18,2,4,4,4,measured
CRI,Costa Rica,1,20-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,48,2,5,5,5,measured
CUB,Cuba,0,,,0,1,18,2,4,4,4,measured
CUW,Curaçao,0,,,0,0,15,2,4,4,4,measured
CYM,Cayman Islands,1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,192,2,6,6,6,measured
CYP,Cyprus,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,1,0,144,2,6,6,6,measured
CZE,Czechia,0,,,0,0,120,3,5,5,5,measured
DEU,Germany,1,28-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,1,1,192,2,5,5,5,measured
DJI,Djibouti,0,,,0,0,15,1.3793103448275901,4,4,4,measured
DMA,Dominica,0,,,0,0,36,2,5,5,5,measured
DNK,Denmark,0,,,0,0,60,3,4,4,4,measured
DOM,Dominican Republic,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,48,2,5,5,5,measured
DZA,Algeria,0,,,0,0,72,2,4,4,4,measured
ECU,Ecuador,0,,,0,0,60,2,5,5,5,measured
EGY,Egypt,0,,,0,0,18,2,4,4,4,measured
ERI,Eritrea,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
ESP,Spain,1,27-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,1,72,2,4,4,4,measured
EST,Estonia,0,,,1,0,192,3,5,5,5,measured
ETH,Ethiopia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
FIN,Finland,0,,,1,0,180,3,5,5,5,measured
FJI,Fiji,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
FRA,France,1,20-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,1,0,156,2,5,5,5,measured
FSM,Micronesia (Federated States of),0,,,0,0,144,2,5,5,5,measured
GAB,Gabon,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
GBR,United Kingdom of Great Britain and Northern Ireland,1,16-32w,https://www.gov.uk/government/publications/vaccination-against-pertussis-whooping-cough-for-pregnant-women/pertussis-whooping-cough-vaccination-programme-for-pregnant-women,0,0,40,1.83908045977012,4,4,4,measured
GEO,Georgia,0,,,0,0,60,2,5,5,5,measured
GHA,Ghana,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
GIN,Guinea,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
GMB,Gambia,0,,,0,0,18,2,4,4,4,measured
GNB,Guinea-Bissau,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
GNQ,Equatorial Guinea,0,,,0,0,18,1.3793103448275901,4,4,4,measured
GRC,Greece,0,,,1,0,144,2,6,6,6,measured
GRD,Grenada,0,,,0,0,18,1.3793103448275901,4,4,4,measured
GTM,Guatemala,1,20-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,48,2,5,5,5,measured
GUM,Guam,1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,1,0,132,2,6,6,6,measured
GUY,Guyana,0,,,0,0,6,2,3,3,3,measured
HKG,"China, Hong Kong SAR",1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,132,2,6,6,6,measured
HND,Honduras,1,No timing specified,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,48,2,5,5,5,measured
HRV,Croatia,0,,,0,0,72,2,5,5,5,measured
HTI,Haiti,0,,,0,0,15,1.3793103448275901,4,4,4,measured
HUN,Hungary,1,16-32w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,132,2,6,6,6,measured
IDN,Indonesia,0,,,0,0,18,2,4,4,4,measured
IND,India,1,27-36w,https://pmc.ncbi.nlm.nih.gov/articles/PMC10324430/,0,0,72,1.3793103448275901,5,5,5,measured
IRL,Ireland,1,16-36w,https://www.nhs.uk/pregnancy/keeping-well/whooping-cough-vaccination/,0,1,156,2,5,5,5,measured
IRN,Iran (Islamic Republic of),0,,,0,0,72,2,5,5,5,measured
IRQ,Iraq,0,,,0,0,72,2,5,5,5,measured
ISL,Iceland,1,18-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,168,3,5,5,5,measured
ISR,Israel,1,27-36w,https://academic.oup.com/eurpub/article/28/suppl_4/cky213.237/5186666,0,1,156,2,6,6,6,measured
ITA,Italy,1,28-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,1,0,216,3,5,5,5,measured
JAM,Jamaica,0,,,0,0,72,1.3793103448275901,5,5,5,measured
JOR,Jordan,0,,,0,0,18,3,4,4,4,measured
JPN,Japan,0,,,0,0,18,3,3,3,3,measured
KAZ,Kazakhstan,0,,,0,0,72,2,5,5,5,measured
KEN,Kenya,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
KGZ,Kyrgyzstan,0,,,0,0,24,2,3,3,3,measured
KHM,Cambodia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
KIR,Kiribati,0,,,0,0,72,1.3793103448275901,4,4,4,measured
KNA,Saint Kitts and Nevis,0,,,0,0,60,2,4,4,4,measured
KOR,Republic of Korea,0,,,0,0,144,2,6,6,6,measured
KWT,Kuwait,0,,,0,0,43.2,2,5,5,5,measured
LAO,Lao People's Democratic Republic,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
LBN,Lebanon,0,,,0,0,60,2,5,5,5,measured
LBR,Liberia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
LBY,Libya,0,,,0,0,180,2,6,6,6,measured
LCA,Saint Lucia,0,,,0,0,60,2,5,5,5,measured
LKA,Sri Lanka,0,,,0,0,18,2,4,4,4,measured
LSO,Lesotho,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
LTU,Lithuania,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,192,2,6,6,6,measured
LUX,Luxembourg,1,13-26w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,192,2,6,6,6,measured
LVA,Latvia,1,16-38w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,168,2,6,6,6,measured
MAC,"China, Macao SAR",1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,144,2,6,6,6,measured
MAR,Morocco,0,,,0,0,60,2,5,5,5,measured
MCO,Monaco,0,,,1,0,156,2,5,5,5,measured
MDA,Republic of Moldova,0,,,0,0,24,2,4,4,4,measured
MDG,Madagascar,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
MDV,Maldives,0,,,0,0,48,2,4,4,4,measured
MEX,Mexico,1,27-36w,https://pmc.ncbi.nlm.nih.gov/articles/PMC5287315/,0,0,48,2,5,5,5,measured
MHL,Marshall Islands,0,,,0,0,144,2,6,6,6,measured
MKD,North Macedonia,0,,,0,0,84,2,5,5,5,measured
MLI,Mali,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
MLT,Malta,0,,,0,0,18,2,4,4,4,measured
MMR,Myanmar,0,,,0,0,18,2,4,4,4,measured
MNE,Montenegro,0,,,0,0,72,2.0689655172413799,5,5,5,measured
MNG,Mongolia,0,,,0,0,4,2,3,3,3,measured
MNP,Northern Mariana Islands,0,,,0,0,216,1.3793103448275901,6,6,6,measured
MOZ,Mozambique,0,,,0,0,4,2,3,3,3,measured
MRT,Mauritania,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
MSR,Montserrat,0,,,0,0,18,2,4,4,4,measured
MUS,Mauritius,1,No timing specified,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,132,1.3793103448275901,6,6,6,measured
MWI,Malawi,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
MYS,Malaysia,0,,,0,0,18,2,4,4,4,measured
NAM,Namibia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
NCL,New Caledonia,0,,,1,0,132,2,5,5,5,measured
NER,Niger,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
NGA,Nigeria,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
NIC,Nicaragua,0,,,0,0,72,2,5,5,5,measured
NIU,Niue,1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,132,1.3793103448275901,5,5,5,measured
NLD,Netherlands (Kingdom of the),1,22-36w,https://rijksvaccinatieprogramma.nl/en/vaccinations/maternal-whooping-cough,0,1,48,3,4,4,4,measured
NOR,Norway,1,24-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,1,180,3,5,5,5,measured
NPL,Nepal,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
NRU,Nauru,0,,,0,0,48,1.3793103448275901,5,5,5,measured
NZL,New Zealand,1,16-26w,https://info.health.nz/immunisations/vaccines-aotearoa/whooping-cough-pertussis-vaccine,1,1,156,1.3793103448275901,5,5,5,measured
OMN,Oman,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,18,2,4,4,4,measured
PAK,Pakistan,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
PAN,Panama,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,1,1,120,2,6,6,6,measured
PER,Peru,1,20-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,48,2,5,5,5,measured
PHL,Philippines,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
PLW,Palau,0,,,0,0,120,1.3793103448275901,6,6,6,measured
PNG,Papua New Guinea,0,,,0,0,3,1,3,3,3,measured
POL,Poland,1,27-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,1,168,1.6091954022988499,6,6,6,measured
PRK,Democratic People's Republic of Korea,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
PRT,Portugal,1,20-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,60,2,5,5,5,measured
PRY,Paraguay,1,No timing specified,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,120,2,6,6,6,measured
PSE,"occupied Palestinian territory, including east Jerusalem",0,,,0,0,18,2,4,4,4,measured
PYF,French Polynesia,0,,,0,0,132,2,5,5,5,measured
QAT,Qatar,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,216,2,6,6,6,measured
ROU,Romania,1,No timing specified,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,168,2,5,5,5,measured
RUS,Russian Federation,0,,,1,1,18,3,3,3,3,measured
RWA,Rwanda,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SAU,Saudi Arabia,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,72,2,5,5,5,measured
SDN,Sudan,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SEN,Senegal,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SGP,Singapore,1,27-36w,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/09/update-on-immunization-and-pregnancy-tetanus-diphtheria-and-pertussis-vaccination,0,0,132,2,5,5,5,measured
SLB,Solomon Islands,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SLE,Sierra Leone,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SLV,El Salvador,1,20-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,48,2,5,5,5,measured
SMR,San Marino,0,,,1,0,180,3,5,5,5,measured
SOM,Somalia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SRB,Serbia,0,,,0,0,84,1.83908045977012,5,5,5,measured
SSD,South Sudan,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
STP,Sao Tome and Principe,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
SUR,Suriname,0,,,0,1,60,2,5,5,5,measured
SVK,Slovakia,0,,,0,0,144,2,5,5,5,measured
SVN,Slovenia,1,24-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,96,3,4,4,4,measured
SWE,Sweden,1,16-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,192,3,5,5,5,measured
SWZ,Eswatini,0,,,0,0,18,1.3793103448275901,4,4,4,measured
SXM,Sint Maarten (Dutch part),0,,,0,0,12,2,4,4,4,measured
SYC,Seychelles,0,,,0,0,18,3,4,4,4,measured
SYR,Syrian Arab Republic,0,,,0,0,18,1.83908045977012,4,4,4,measured
TCA,Turks and Caicos Islands,0,,,0,0,36,2,5,5,5,measured
TCD,Chad,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
TGO,Togo,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
THA,Thailand,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,48,2,4,4,4,measured
TJK,Tajikistan,0,,,0,0,23,2,4,4,4,measured
TKL,Tokelau,0,,,0,0,60,1.3793103448275901,4,4,4,measured
TKM,Turkmenistan,0,,,0,0,18,2,4,4,4,measured
TLS,Timor-Leste,0,,,0,0,18,1.3793103448275901,4,4,4,measured
TON,Tonga,0,,,0,0,60,1.3793103448275901,5,5,5,measured
TTO,Trinidad and Tobago,0,,,0,0,60,2,5,5,5,measured
TUN,Tunisia,0,,,0,0,18,2,4,4,4,measured
TUR,Türkiye,0,,,0,0,48,2,5,5,5,measured
TUV,Tuvalu,0,,,0,0,72,1.3793103448275901,4,4,4,measured
TZA,United Republic of Tanzania,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
UGA,Uganda,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
UKR,Ukraine,0,,,0,0,18,2,4,4,4,measured
URY,Uruguay,1,28-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,1,132,2,6,6,6,measured
USA,United States of America,1,27-36w,https://www.cdc.gov/pertussis/hcp/vaccine-recommendations/vaccinating-pregnant-patients.html,1,0,144,2,6,6,6,measured
UZB,Uzbekistan,0,,,0,0,16,2,4,4,4,measured
VCT,Saint Vincent and the Grenadines,0,,,0,0,18,2,4,4,4,measured
VEN,Venezuela (Bolivarian Republic of),0,,,0,0,60,2,5,5,5,measured
VGB,British Virgin Islands,1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,48,2,5,5,5,measured
VNM,Viet Nam,0,,,0,0,18,2,4,4,4,measured
VUT,Vanuatu,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
WLF,Wallis and Futuna,0,,,0,0,72,2,4,4,4,measured
WSM,Samoa,0,,,0,0,15,1.3793103448275901,4,4,4,measured
XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),0,,,0,0,12,2,4,4,4,measured
YEM,Yemen,0,,,0,0,84,1.3793103448275901,5,5,5,measured
ZAF,South Africa,1,26-34w,https://knowledgehub.health.gov.za/system/files/2023-11/KH%20webinar%20Session%202%20Tdap%20-%20final.pdf,0,0,18,1.3793103448275901,4,4,4,measured
ZMB,Zambia,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
ZWE,Zimbabwe,0,,,0,0,18,1.3793103448275901,4,4,4,measured
