iso3,country_name,year,coverage_category,coverage_raw,Drop,source,备注,很多中低收入国家孕期免疫项目主要监测 破伤风类疫苗（TT / Td / TTCV）或者没有全国性的孕期 Tdap 接种项目，百日咳疫苗主要是针对的儿童，文献研究Article多是这个国家的某一地区的某一时间段的抽样研究,coverage_percent,coverage_proportion,source_type
BHR,bahrain,2022.0,Official coverage,13.16,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,13.16,0.1316,measured
BHS,bahamas,2024.0,Administrative coverage,92.34,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,92.34,0.9234,measured
BHS,bahamas,2023.0,Administrative coverage,94.99,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,94.99,0.9499,measured
BHS,bahamas,2022.0,Administrative coverage,92.44,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,92.44,0.9244,measured
BIH,bosnia and herzegovina,,,,,,,,,,measured
BLR,belarus,,,,,,,,,,measured
BLZ,belize,,,,,,,,,,measured
BMU,bermuda,2022.0,Administrative coverage,18.95,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,18.95,0.1895,measured
BOL,bolivia (plurinational state of),,,,,,,,,,measured
BRA,brazil,2023.0,Administrative coverage,74.12,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,74.12,0.7412000000000001,measured
BRA,brazil,2021.0,Administrative coverage,42.96,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.96,0.4296,measured
BRA,brazil,2021.0,Official coverage,42.95,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.95,0.42950000000000005,measured
BRA,brazil,2015.0,Article,"30.86 [25.63, 36.25]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,30.86,0.3086,measured
BRA,brazil,2019.0,Article,"64.13 [55.42, 72.58]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,64.13,0.6413,measured
BRA,brazil,2020.0,Article,"68.67 [60.06, 76.86]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,68.67,0.6867,measured
BRA,brazil,2023.0,Article,"73.89 [60.77, 85.34]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,73.89,0.7389,measured
BRB,barbados,,,,,,,,,,measured
BRN,brunei darussalam,,,,,,,,,,measured
BTN,bhutan,,,,,,,,,,measured
BWA,botswana,,,,,,,,,,measured
CAF,central african republic,,,,,,,,,,measured
CAN,canada,2024.0,Administrative coverage,65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.0,0.65,measured
CAN,canada,2024.0,Official coverage,65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.0,0.65,measured
CAN,canada,2023.0,Administrative coverage,65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.0,0.65,measured
CAN,canada,2023.0,Official coverage,65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.0,0.65,measured
CAN,canada,2022.0,Official coverage,65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.0,0.65,measured
CAN,canada,2021.0,Official coverage,44,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,44.0,0.44,measured
CAN,canada,2015.0,Article,"11.88 [7.82, 16.59]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,11.88,0.1188,measured
CAN,canada,2019.0,Article,"37.56 [29.44, 46.02]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,37.56,0.37560000000000004,measured
CAN,canada,2020.0,Article,"44.70 [36.13, 53.45]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,44.7,0.447,measured
CAN,canada,2023.0,Article,"61.66 [44.47, 76.86]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,61.66,0.6165999999999999,measured
CHE,switzerland,2020.0,Article,87.5,,https://www.sciencedirect.com/science/article/pii/S0264410X22005333?via%3Dihub#s0015,,,87.5,0.875,measured
CHE,switzerland,2021.0,Article,85,,https://www.sciencedirect.com/science/article/pii/S0264410X22005333?via%3Dihub#s0015,,,85.0,0.85,measured
CHL,chile,2024.0,Administrative coverage,65.489999999999995,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,65.49,0.6548999999999999,measured
CHL,chile,2023.0,Administrative coverage,67.709999999999994,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,67.71,0.6770999999999999,measured
CHL,chile,2022.0,Administrative coverage,69.739999999999995,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,69.74,0.6973999999999999,measured
CHL,chile,2021.0,Administrative coverage,61.19,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,61.19,0.6119,measured
CHL,chile,2021.0,Official coverage,61.19,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,61.19,0.6119,measured
CHN,china,,,,,,,,,,measured
CIV,côte d'ivoire,,,,,,,,,,measured
CMR,cameroon,,,,,,,,,,measured
COD,democratic republic of the congo,,,,,,,,,,measured
COG,congo,,,,,,,,,,measured
COK,cook islands,,,,,,,,,,measured
COL,colombia,2022.0,Official coverage,70,,https://normograma.invima.gov.co/compilacion/docs/circular_minsaludps_0011_2025.htm,,,70.0,0.7,measured
COL,colombia,2023.0,Official coverage,72,,https://normograma.invima.gov.co/compilacion/docs/circular_minsaludps_0011_2025.htm,,,72.0,0.72,measured
COL,colombia,2024.0,Official coverage,74,,https://normograma.invima.gov.co/compilacion/docs/circular_minsaludps_0011_2025.htm,,,74.0,0.74,measured
COL,colombia,2022.0,Administrative coverage,70.099999999999994,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,70.1,0.701,measured
COL,colombia,2021.0,Administrative coverage,50.34,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,50.34,0.5034000000000001,measured
COL,colombia,2021.0,Official coverage,50.3,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,50.3,0.503,measured
COM,comoros,,,,,,,,,,measured
CPV,cabo verde,,,,,,,,,,measured
CRI,costa rica,2024.0,Administrative coverage,95.42,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,95.42,0.9542,measured
CRI,costa rica,2023.0,Administrative coverage,61.84,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,61.84,0.6184000000000001,measured
CRI,costa rica,2021.0,Official coverage,75.459999999999994,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,75.46,0.7545999999999999,measured
CUB,cuba,2021.0,Administrative coverage,100,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,100.0,1.0,measured
CUB,cuba,2021.0,Official coverage,100,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,100.0,1.0,measured
CUW,curaçao,,,,,,,,,,measured
CYM,cayman islands,2024.0,Administrative coverage,18.18,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,18.18,0.1818,measured
CYM,cayman islands,2023.0,Administrative coverage,16.05,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,16.05,0.1605,measured
CYM,cayman islands,2022.0,Administrative coverage,18.14,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,18.14,0.1814,measured
CYP,cyprus,,,,,,,,,,measured
CZE,czechia,,Article,1.6 (1.3–2.0),,https://pubmed.ncbi.nlm.nih.gov/36598323/,"95% confidence interval, ",,1.6,0.016,measured
DEU,germany,2024.0,Administrative coverage,47.9,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,47.9,0.479,measured
DEU,germany,2024.0,Official coverage,47.9,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,47.9,0.479,measured
DEU,germany,2023.0,Administrative coverage,42,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.0,0.42,measured
DEU,germany,2023.0,Official coverage,42,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.0,0.42,measured
DEU,germany,2022.0,Administrative coverage,33.6,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,33.6,0.336,measured
DEU,germany,2022.0,Official coverage,33.6,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,33.6,0.336,measured
DEU,germany,2021.0,Administrative coverage,6.5,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,6.5,0.065,measured
DEU,germany,2021.0,Official coverage,6.5,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,6.5,0.065,measured
DJI,djibouti,,,,,,,,,,measured
DMA,dominica,2024.0,Official coverage,48.17,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,48.17,0.4817,measured
DMA,dominica,2023.0,Official coverage,48.17,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,48.17,0.4817,measured
DNK,denmark,2024.0,Administrative coverage,52.03,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,52.03,0.5203,measured
DNK,denmark,2024.0,Official coverage,52.03,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,52.03,0.5203,measured
DNK,denmark,2023.0,Administrative coverage,69.459999999999994,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,69.46,0.6945999999999999,measured
DNK,denmark,2023.0,Official coverage,69.459999999999994,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,69.46,0.6945999999999999,measured
DNK,denmark,2022.0,Administrative coverage,41.63,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,41.63,0.4163,measured
DNK,denmark,2022.0,Official coverage,41.63,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,41.63,0.4163,measured
DNK,denmark,2021.0,Administrative coverage,43.18,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,43.18,0.4318,measured
DNK,denmark,2021.0,Official coverage,43.2,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,43.2,0.43200000000000005,measured
DNK,denmark,2015.0,Article,"34.36 [0.74, 93.55]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,34.36,0.3436,measured
DNK,denmark,2019.0,Article,"41.01 [13.89, 71.25]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,41.01,0.41009999999999996,measured
DNK,denmark,2020.0,Article,"45.31 [22.96, 67.52]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,45.31,0.4531,measured
DNK,denmark,2023.0,Article,"62.82 [48.77, 76.05]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,62.82,0.6282,measured
DOM,dominican republic,2024.0,Administrative coverage,53.31,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,53.31,0.5331,measured
DOM,dominican republic,2023.0,Administrative coverage,45.38,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,45.38,0.45380000000000004,measured
DOM,dominican republic,2022.0,Administrative coverage,39.65,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,39.65,0.39649999999999996,measured
DOM,dominican republic,2021.0,Administrative coverage,28.06,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,28.06,0.28059999999999996,measured
DOM,dominican republic,2021.0,Official coverage,28.06,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,28.06,0.28059999999999996,measured
DZA,algeria,,,,,,,,,,measured
ECU,ecuador,,,,,,,,,,measured
EGY,egypt,,,,,,,,,,measured
ERI,eritrea,,,,,,,,,,measured
ESP,spain,2024.0,Administrative coverage,91.83,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,91.83,0.9183,measured
