country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
United_Kingdom,GBR,infant_3_11m,child_1_6y,2.792939,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_3_11m,school_7_17y,1.532776,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_3_11m,adult_18plus,6.631463,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,child_1_6y,infant_0_2m,0.109331,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,child_1_6y,infant_3_11m,0.327993,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,child_1_6y,child_1_6y,2.995596,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,child_1_6y,school_7_17y,3.130466,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,child_1_6y,adult_18plus,6.888841,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,school_7_17y,infant_0_2m,0.028534,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,school_7_17y,infant_3_11m,0.085601,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,school_7_17y,child_1_6y,1.488699,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,school_7_17y,school_7_17y,8.163659,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,school_7_17y,adult_18plus,8.56893,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,adult_18plus,infant_0_2m,0.020937,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,adult_18plus,infant_3_11m,0.062811,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,adult_18plus,child_1_6y,0.555605,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,adult_18plus,school_7_17y,1.453279,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,adult_18plus,adult_18plus,8.690219,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_0_2m,infant_0_2m,0.119155,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_0_2m,infant_3_11m,0.357464,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_0_2m,child_1_6y,2.372484,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_0_2m,school_7_17y,0.873628,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_0_2m,adult_18plus,6.307015,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_3_11m,infant_0_2m,0.119155,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_3_11m,infant_3_11m,0.357464,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_3_11m,child_1_6y,2.372484,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_3_11m,school_7_17y,0.873628,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,infant_3_11m,adult_18plus,6.307015,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,child_1_6y,infant_0_2m,0.087775,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,child_1_6y,infant_3_11m,0.263324,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,child_1_6y,child_1_6y,2.262188,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,child_1_6y,school_7_17y,1.892239,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,child_1_6y,adult_18plus,6.590655,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,school_7_17y,infant_0_2m,0.014063,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,school_7_17y,infant_3_11m,0.042188,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,school_7_17y,child_1_6y,0.823283,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,school_7_17y,school_7_17y,6.109448,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,school_7_17y,adult_18plus,8.881695,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,adult_18plus,infant_0_2m,0.011168,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,adult_18plus,infant_3_11m,0.033505,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,adult_18plus,child_1_6y,0.315452,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,adult_18plus,school_7_17y,0.977074,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Japan,JPN,adult_18plus,adult_18plus,9.939154,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_0_2m,infant_0_2m,0.138413,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_0_2m,infant_3_11m,0.415239,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_0_2m,child_1_6y,2.747943,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_0_2m,school_7_17y,1.639133,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_0_2m,adult_18plus,7.238636,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_3_11m,infant_0_2m,0.138413,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_3_11m,infant_3_11m,0.415239,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_3_11m,child_1_6y,2.747943,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_3_11m,school_7_17y,1.639133,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,infant_3_11m,adult_18plus,7.238636,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,child_1_6y,infant_0_2m,0.11302,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,child_1_6y,infant_3_11m,0.33906,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
New_Zealand,NZL,child_1_6y,child_1_6y,3.008096,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
