country,log_beta_S,beta_S,log_posterior,log_posterior_raw,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing
Brazil,-4.706778823286805,0.009033830329187361,-3262.2187952661834,-3264.183484357199,7.2582783984976e-07,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706746206421803,0.009034124989217074,-3262.1437703510323,-3264.96867971117,7.823778176635649e-07,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706713589556802,0.009034419658857823,-3261.63011197777,-3266.209755137966,1.3076620668037875e-06,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706680972691801,0.009034714338109928,-3261.230137514034,-3264.5374242947305,1.9507527518528413e-06,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7066483558268,0.009035009026973703,-3260.8320236990894,-3266.0317419015473,2.904697167556116e-06,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706615738961799,0.00903530372544947,-3260.7860624130453,-3268.107293201681,3.041316332061526e-06,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706583122096798,0.009035598433537526,-3259.8088632639133,-3265.8925478966285,8.080789472872195e-06,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706550505231797,0.009035893151238192,-3258.9296029730162,-3258.9457625643313,1.9467567303676205e-05,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706517888366795,0.009036187878551791,-3258.514176149106,-3267.2316554868303,2.9493700247432132e-05,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706485271501794,0.00903648261547862,-3258.5002774413065,-3257.341135442511,2.9906486522055588e-05,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706452654636793,0.009036777362019,-3257.8577146652124,-3261.6166814641933,5.686261944568678e-05,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706420037771792,0.009037072118173244,-3257.2445894412413,-3259.825698963646,0.00010497932200423764,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706387420906791,0.009037366883941675,-3256.6712381841708,-3259.8889450309503,0.00018625461855093756,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70635480404179,0.00903766165932459,-3256.3886405188855,-3261.5814950087224,0.00024708003681460345,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706322187176789,0.009037956444322311,-3255.858896868918,-3261.1048054960715,0.0004196646625188233,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706289570311788,0.009038251238935152,-3255.8352806905696,-3254.6690339324127,0.0004296934932574542,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706256953446786,0.009038546043163433,-3256.091901511446,-3263.91580137304,0.00033243731874296555,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706224336581785,0.009038840857007452,-3256.416099468429,-3260.9940515078656,0.0002403877802068971,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706191719716784,0.009039135680467533,-3255.8759638597294,-3258.3856599881547,0.00041256302376225954,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7061591028517835,0.009039430513543986,-3255.9422063336615,-3259.9009477756736,0.0003861193447819438,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706126485986782,0.009039725356237135,-3255.187804755686,-3259.255356311476,0.0008210205035597602,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706093869121781,0.009040020208547278,-3254.9960376967556,-3259.71382386478,0.0009945746337224977,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70606125225678,0.009040315070474736,-3254.831753498215,-3260.3166294361954,0.0011721551483298881,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.706028635391779,0.009040609942019821,-3254.793561674805,-3258.289825811648,0.0012177877401432558,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705996018526777,0.009040904823182858,-3254.623292542926,-3261.1637970782513,0.001443838246885571,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705963401661776,0.009041199713964141,-3254.753589979838,-3256.6087624150637,0.0012674507248780257,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7059307847967755,0.009041494614363994,-3254.0664081608174,-3255.7044526545465,0.002519824859506678,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705898167931775,0.009041789524382731,-3253.964892457623,-3253.124198013208,0.00278906134043804,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705865551066773,0.009042084444020673,-3253.7291441414704,-3257.3795006450387,0.0035305491247251625,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
