resistance_weight_lambda,strategy,strategy_label,country_profiles_preferred,median_preference_score,median_infant_case_reduction,median_resistant_infection_reduction
0.08,maternal_immunization,Infant exposure,5,0.677805978692088,0.7367456290131391,0.429239708686999
0.08,adolescent_booster,Adolescent,1,0.8781377857156105,0.8687737449773014,0.9858242542061652
0.08,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.09,timeliness_only,Timeliness,2,0.3139420029073233,0.33670612628115143,0.08377142212750582
0.09,maternal_immunization,Infant exposure,5,0.6704385224019567,0.7367456290131391,0.429239708686999
0.09,adolescent_booster,Adolescent,1,0.8793082908078992,0.8687737449773014,0.9858242542061652
0.09,resistance_guided_treatment,Resistance mgmt,2,0.2868304444579658,0.21729463191443457,0.989914771287004
0.1,timeliness_only,Timeliness,1,0.28794771322884427,0.3177232811010653,0.01996760237885486
0.1,maternal_immunization,Infant exposure,5,0.6630710661118252,0.7367456290131391,0.429239708686999
0.1,adolescent_booster,Adolescent,1,0.8804787959001878,0.8687737449773014,0.9858242542061652
0.1,resistance_guided_treatment,Resistance mgmt,3,0.2982319413935123,0.22049738243176584,0.9978429720492296
0.11,timeliness_only,Timeliness,1,0.28497015644162216,0.3177232811010653,0.01996760237885486
0.11,maternal_immunization,Infant exposure,5,0.6557036098216938,0.7367456290131391,0.429239708686999
0.11,adolescent_booster,Adolescent,1,0.8816493009924764,0.8687737449773014,0.9858242542061652
0.11,resistance_guided_treatment,Resistance mgmt,3,0.3060053972896869,0.22049738243176584,0.9978429720492296
0.12,timeliness_only,Timeliness,1,0.28199259965440004,0.3177232811010653,0.01996760237885486
0.12,maternal_immunization,Infant exposure,5,0.6483361535315624,0.7367456290131391,0.429239708686999
0.12,adolescent_booster,Adolescent,1,0.8828198060847651,0.8687737449773014,0.9858242542061652
0.12,resistance_guided_treatment,Resistance mgmt,3,0.3137788531858615,0.22049738243176584,0.9978429720492296
0.13,timeliness_only,Timeliness,1,0.27901504286717793,0.3177232811010653,0.01996760237885486
0.13,maternal_immunization,Infant exposure,5,0.640968697241431,0.7367456290131391,0.429239708686999
0.13,adolescent_booster,Adolescent,1,0.8839903111770537,0.8687737449773014,0.9858242542061652
0.13,resistance_guided_treatment,Resistance mgmt,3,0.32155230908203614,0.22049738243176584,0.9978429720492296
0.14,timeliness_only,Timeliness,1,0.2760374860799558,0.3177232811010653,0.01996760237885486
0.14,maternal_immunization,Infant exposure,5,0.6336012409512997,0.7367456290131391,0.429239708686999
0.14,adolescent_booster,Adolescent,1,0.8851608162693423,0.8687737449773014,0.9858242542061652
0.14,resistance_guided_treatment,Resistance mgmt,3,0.3293257649782108,0.22049738243176584,0.9978429720492296
0.15,timeliness_only,Timeliness,1,0.2730599292927337,0.3177232811010653,0.01996760237885486
0.15,maternal_immunization,Infant exposure,5,0.6262337846611682,0.7367456290131391,0.429239708686999
0.15,adolescent_booster,Adolescent,1,0.886331321361631,0.8687737449773014,0.9858242542061652
0.15,resistance_guided_treatment,Resistance mgmt,3,0.33709922087438543,0.22049738243176584,0.9978429720492296
0.16,timeliness_only,Timeliness,1,0.27008237250551165,0.3177232811010653,0.01996760237885486
0.16,maternal_immunization,Infant exposure,3,0.8497399190354344,0.8375550646364438,0.9137104046301354
0.16,adolescent_booster,Adolescent,1,0.8875018264539196,0.8687737449773014,0.9858242542061652
0.16,resistance_guided_treatment,Resistance mgmt,5,0.36195409147034774,0.26711215806932864,0.9819865705247782
0.17,timeliness_only,Timeliness,1,0.2671048157182895,0.3177232811010653,0.01996760237885486
0.17,maternal_immunization,Infant exposure,3,0.8505014724353713,0.8375550646364438,0.9137104046301354
0.17,adolescent_booster,Adolescent,1,0.8886723315462082,0.8687737449773014,0.9858242542061652
0.17,resistance_guided_treatment,Resistance mgmt,5,0.3648946474781681,0.26711215806932864,0.9819865705247782
0.18,timeliness_only,Timeliness,1,0.2641272589310674,0.3177232811010653,0.01996760237885486
0.18,maternal_immunization,Infant exposure,3,0.8512630258353083,0.8375550646364438,0.9137104046301354
0.18,adolescent_booster,Adolescent,1,0.889842836638497,0.8687737449773014,0.9858242542061652
0.18,resistance_guided_treatment,Resistance mgmt,5,0.36783520348598847,0.26711215806932864,0.9819865705247782
0.19,timeliness_only,Timeliness,1,0.26114970214384536,0.3177232811010653,0.01996760237885486
0.19,maternal_immunization,Infant exposure,3,0.8520245792352453,0.8375550646364438,0.9137104046301354
0.19,adolescent_booster,Adolescent,1,0.8910133417307855,0.8687737449773014,0.9858242542061652
0.19,resistance_guided_treatment,Resistance mgmt,5,0.3707757594938088,0.26711215806932864,0.9819865705247782
0.2,timeliness_only,Timeliness,1,0.2581721453566232,0.3177232811010653,0.01996760237885486
0.2,maternal_immunization,Infant exposure,3,0.8527861326351821,0.8375550646364438,0.9137104046301354
0.2,adolescent_booster,Adolescent,1,0.8921838468230742,0.8687737449773014,0.9858242542061652
0.2,resistance_guided_treatment,Resistance mgmt,5,0.3759665003552587,0.26711215806932864,0.9819865705247782
0.21,timeliness_only,Timeliness,0,NA,NA,NA
0.21,maternal_immunization,Infant exposure,3,0.853547686035119,0.8375550646364438,0.9137104046301354
0.21,adolescent_booster,Adolescent,1,0.8933543519153628,0.8687737449773014,0.9858242542061652
0.21,resistance_guided_treatment,Resistance mgmt,6,0.3801984138804414,0.24380477025054725,0.7954736833260175
0.22,timeliness_only,Timeliness,0,NA,NA,NA
0.22,maternal_immunization,Infant exposure,3,0.854309239435056,0.8375550646364438,0.9137104046301354
0.22,adolescent_booster,Adolescent,1,0.8945248570076514,0.8687737449773014,0.9858242542061652
0.22,resistance_guided_treatment,Resistance mgmt,6,0.3872710625763998,0.24380477025054725,0.7954736833260175
0.23,timeliness_only,Timeliness,0,NA,NA,NA
0.23,maternal_immunization,Infant exposure,3,0.855070792834993,0.8375550646364438,0.9137104046301354
0.23,adolescent_booster,Adolescent,1,0.89569536209994,0.8687737449773014,0.9858242542061652
0.23,resistance_guided_treatment,Resistance mgmt,6,0.3949972639701255,0.24380477025054725,0.7954736833260175
0.24,timeliness_only,Timeliness,0,NA,NA,NA
0.24,maternal_immunization,Infant exposure,3,0.8558323462349298,0.8375550646364438,0.9137104046301354
0.24,adolescent_booster,Adolescent,1,0.8968658671922287,0.8687737449773014,0.9858242542061652
0.24,resistance_guided_treatment,Resistance mgmt,6,0.4027234653638512,0.24380477025054725,0.7954736833260175
0.25,timeliness_only,Timeliness,0,NA,NA,NA
0.25,maternal_immunization,Infant exposure,3,0.8565938996348668,0.8375550646364438,0.9137104046301354
0.25,adolescent_booster,Adolescent,1,0.8980363722845174,0.8687737449773014,0.9858242542061652
0.25,resistance_guided_treatment,Resistance mgmt,6,0.4104496667575769,0.24380477025054725,0.7954736833260175
0.26,timeliness_only,Timeliness,0,NA,NA,NA
0.26,maternal_immunization,Infant exposure,3,0.8573554530348036,0.8375550646364438,0.9137104046301354
0.26,adolescent_booster,Adolescent,1,0.899206877376806,0.8687737449773014,0.9858242542061652
0.26,resistance_guided_treatment,Resistance mgmt,6,0.4181758681513026,0.24380477025054725,0.7954736833260175
0.27,timeliness_only,Timeliness,0,NA,NA,NA
0.27,maternal_immunization,Infant exposure,3,0.8581170064347405,0.8375550646364438,0.9137104046301354
0.27,adolescent_booster,Adolescent,1,0.9003773824690946,0.8687737449773014,0.9858242542061652
0.27,resistance_guided_treatment,Resistance mgmt,6,0.4259020695450283,0.24380477025054725,0.7954736833260175
0.28,timeliness_only,Timeliness,0,NA,NA,NA
0.28,maternal_immunization,Infant exposure,3,0.8588785598346774,0.8375550646364438,0.9137104046301354
0.28,adolescent_booster,Adolescent,1,0.9015478875613834,0.8687737449773014,0.9858242542061652
0.28,resistance_guided_treatment,Resistance mgmt,6,0.433628270938754,0.24380477025054725,0.7954736833260175
0.29,timeliness_only,Timeliness,0,NA,NA,NA
0.29,maternal_immunization,Infant exposure,3,0.8596401132346143,0.8375550646364438,0.9137104046301354
0.29,adolescent_booster,Adolescent,1,0.902718392653672,0.8687737449773014,0.9858242542061652
0.29,resistance_guided_treatment,Resistance mgmt,6,0.4413544723324796,0.24380477025054725,0.7954736833260175
0.3,timeliness_only,Timeliness,0,NA,NA,NA
0.3,maternal_immunization,Infant exposure,3,0.8604016666345513,0.8375550646364438,0.9137104046301354
0.3,adolescent_booster,Adolescent,1,0.9038888977459604,0.8687737449773014,0.9858242542061652
0.3,resistance_guided_treatment,Resistance mgmt,6,0.44908067372620536,0.24380477025054725,0.7954736833260175
0.31,timeliness_only,Timeliness,0,NA,NA,NA
0.31,maternal_immunization,Infant exposure,3,0.8611632200344881,0.8375550646364438,0.9137104046301354
0.31,adolescent_booster,Adolescent,1,0.9050594028382491,0.8687737449773014,0.9858242542061652
0.31,resistance_guided_treatment,Resistance mgmt,6,0.456806875119931,0.24380477025054725,0.7954736833260175
0.32,timeliness_only,Timeliness,0,NA,NA,NA
0.32,maternal_immunization,Infant exposure,3,0.8619247734344251,0.8375550646364438,0.9137104046301354
0.32,adolescent_booster,Adolescent,1,0.9062299079305378,0.8687737449773014,0.9858242542061652
0.32,resistance_guided_treatment,Resistance mgmt,6,0.4645330765136567,0.24380477025054725,0.7954736833260175
0.33,timeliness_only,Timeliness,0,NA,NA,NA
0.33,maternal_immunization,Infant exposure,3,0.8626863268343621,0.8375550646364438,0.9137104046301354
0.33,adolescent_booster,Adolescent,1,0.9074004130228264,0.8687737449773014,0.9858242542061652
0.33,resistance_guided_treatment,Resistance mgmt,6,0.4722592779073825,0.24380477025054725,0.7954736833260175
0.34,timeliness_only,Timeliness,0,NA,NA,NA
0.34,maternal_immunization,Infant exposure,3,0.863447880234299,0.8375550646364438,0.9137104046301354
0.34,adolescent_booster,Adolescent,1,0.9085709181151151,0.8687737449773014,0.9858242542061652
0.34,resistance_guided_treatment,Resistance mgmt,6,0.4799854793011082,0.24380477025054725,0.7954736833260175
0.35,timeliness_only,Timeliness,0,NA,NA,NA
0.35,maternal_immunization,Infant exposure,3,0.8642094336342359,0.8375550646364438,0.9137104046301354
0.35,adolescent_booster,Adolescent,1,0.9097414232074036,0.8687737449773014,0.9858242542061652
0.35,resistance_guided_treatment,Resistance mgmt,6,0.48771168069483384,0.24380477025054725,0.7954736833260175
0.36,timeliness_only,Timeliness,0,NA,NA,NA
0.36,maternal_immunization,Infant exposure,3,0.8649709870341729,0.8375550646364438,0.9137104046301354
0.36,adolescent_booster,Adolescent,1,0.9109119282996924,0.8687737449773014,0.9858242542061652
0.36,resistance_guided_treatment,Resistance mgmt,6,0.49543788208855954,0.24380477025054725,0.7954736833260175
0.37,timeliness_only,Timeliness,0,NA,NA,NA
0.37,maternal_immunization,Infant exposure,3,0.8657325404341097,0.8375550646364438,0.9137104046301354
0.37,adolescent_booster,Adolescent,1,0.912082433391981,0.8687737449773014,0.9858242542061652
0.37,resistance_guided_treatment,Resistance mgmt,6,0.5031640834822853,0.24380477025054725,0.7954736833260175
0.38,timeliness_only,Timeliness,0,NA,NA,NA
0.38,maternal_immunization,Infant exposure,3,0.8664940938340466,0.8375550646364438,0.9137104046301354
0.38,adolescent_booster,Adolescent,1,0.9132529384842696,0.8687737449773014,0.9858242542061652
0.38,resistance_guided_treatment,Resistance mgmt,6,0.510890284876011,0.24380477025054725,0.7954736833260175
0.39,timeliness_only,Timeliness,0,NA,NA,NA
0.39,maternal_immunization,Infant exposure,3,0.8672556472339835,0.8375550646364438,0.9137104046301354
0.39,adolescent_booster,Adolescent,1,0.9144234435765584,0.8687737449773014,0.9858242542061652
0.39,resistance_guided_treatment,Resistance mgmt,6,0.5186164862697367,0.24380477025054725,0.7954736833260175
0.4,timeliness_only,Timeliness,0,NA,NA,NA
0.4,maternal_immunization,Infant exposure,3,0.8680172006339204,0.8375550646364438,0.9137104046301354
0.4,adolescent_booster,Adolescent,1,0.9155939486688468,0.8687737449773014,0.9858242542061652
0.4,resistance_guided_treatment,Resistance mgmt,6,0.5241141538965877,0.24380477025054725,0.7954736833260175
0.41,timeliness_only,Timeliness,0,NA,NA,NA
0.41,maternal_immunization,Infant exposure,3,0.8687787540338574,0.8375550646364438,0.9137104046301354
0.41,adolescent_booster,Adolescent,1,0.9167644537611356,0.8687737449773014,0.9858242542061652
0.41,resistance_guided_treatment,Resistance mgmt,6,0.5284614564852886,0.24380477025054725,0.7954736833260175
0.42,timeliness_only,Timeliness,0,NA,NA,NA
0.42,maternal_immunization,Infant exposure,3,0.8695403074337943,0.8375550646364438,0.9137104046301354
0.42,adolescent_booster,Adolescent,1,0.9179349588534242,0.8687737449773014,0.9858242542061652
0.42,resistance_guided_treatment,Resistance mgmt,6,0.5328087590739896,0.24380477025054725,0.7954736833260175
0.43,timeliness_only,Timeliness,0,NA,NA,NA
0.43,maternal_immunization,Infant exposure,3,0.8703018608337312,0.8375550646364438,0.9137104046301354
0.43,adolescent_booster,Adolescent,1,0.9191054639457128,0.8687737449773014,0.9858242542061652
0.43,resistance_guided_treatment,Resistance mgmt,6,0.5371560616626907,0.24380477025054725,0.7954736833260175
0.44,timeliness_only,Timeliness,0,NA,NA,NA
0.44,maternal_immunization,Infant exposure,3,0.8710634142336682,0.8375550646364438,0.9137104046301354
0.44,adolescent_booster,Adolescent,1,0.9202759690380016,0.8687737449773014,0.9858242542061652
0.44,resistance_guided_treatment,Resistance mgmt,6,0.5415033642513918,0.24380477025054725,0.7954736833260175
0.45,timeliness_only,Timeliness,0,NA,NA,NA
0.45,maternal_immunization,Infant exposure,3,0.8718249676336052,0.8375550646364438,0.9137104046301354
0.45,adolescent_booster,Adolescent,1,0.92144647413029,0.8687737449773014,0.9858242542061652
0.45,resistance_guided_treatment,Resistance mgmt,6,0.5458506668400926,0.24380477025054725,0.7954736833260175
0.46,timeliness_only,Timeliness,0,NA,NA,NA
0.46,maternal_immunization,Infant exposure,3,0.872586521033542,0.8375550646364438,0.9137104046301354
0.46,adolescent_booster,Adolescent,1,0.9226169792225788,0.8687737449773014,0.9858242542061652
0.46,resistance_guided_treatment,Resistance mgmt,6,0.5501979694287937,0.24380477025054725,0.7954736833260175
0.47,timeliness_only,Timeliness,0,NA,NA,NA
0.47,maternal_immunization,Infant exposure,3,0.873348074433479,0.8375550646364438,0.9137104046301354
0.47,adolescent_booster,Adolescent,1,0.9237874843148676,0.8687737449773014,0.9858242542061652
0.47,resistance_guided_treatment,Resistance mgmt,6,0.5545452720174947,0.24380477025054725,0.7954736833260175
0.48,timeliness_only,Timeliness,0,NA,NA,NA
0.48,maternal_immunization,Infant exposure,3,0.8741096278334157,0.8375550646364438,0.9137104046301354
0.48,adolescent_booster,Adolescent,1,0.924957989407156,0.8687737449773014,0.9858242542061652
0.48,resistance_guided_treatment,Resistance mgmt,6,0.5588925746061958,0.24380477025054725,0.7954736833260175
0.49,timeliness_only,Timeliness,0,NA,NA,NA
0.49,maternal_immunization,Infant exposure,3,0.8748711812333527,0.8375550646364438,0.9137104046301354
0.49,adolescent_booster,Adolescent,1,0.9261284944994448,0.8687737449773014,0.9858242542061652
0.49,resistance_guided_treatment,Resistance mgmt,6,0.5632398771948968,0.24380477025054725,0.7954736833260175
0.5,timeliness_only,Timeliness,0,NA,NA,NA
0.5,maternal_immunization,Infant exposure,3,0.8756327346332896,0.8375550646364438,0.9137104046301354
0.5,adolescent_booster,Adolescent,1,0.9272989995917332,0.8687737449773014,0.9858242542061652
0.5,resistance_guided_treatment,Resistance mgmt,6,0.5675871797835979,0.24380477025054725,0.7954736833260175
0.51,timeliness_only,Timeliness,0,NA,NA,NA
0.51,maternal_immunization,Infant exposure,3,0.8763942880332265,0.8375550646364438,0.9137104046301354
0.51,adolescent_booster,Adolescent,1,0.928469504684022,0.8687737449773014,0.9858242542061652
0.51,resistance_guided_treatment,Resistance mgmt,6,0.5719344823722988,0.24380477025054725,0.7954736833260175
0.52,timeliness_only,Timeliness,0,NA,NA,NA
0.52,maternal_immunization,Infant exposure,3,0.8771558414331635,0.8375550646364438,0.9137104046301354
0.52,adolescent_booster,Adolescent,1,0.9296400097763106,0.8687737449773014,0.9858242542061652
0.52,resistance_guided_treatment,Resistance mgmt,6,0.5762817849609998,0.24380477025054725,0.7954736833260175
0.53,timeliness_only,Timeliness,0,NA,NA,NA
0.53,maternal_immunization,Infant exposure,3,0.8779173948331003,0.8375550646364438,0.9137104046301354
0.53,adolescent_booster,Adolescent,1,0.9308105148685992,0.8687737449773014,0.9858242542061652
0.53,resistance_guided_treatment,Resistance mgmt,6,0.5806290875497009,0.24380477025054725,0.7954736833260175
0.54,timeliness_only,Timeliness,0,NA,NA,NA
0.54,maternal_immunization,Infant exposure,3,0.8786789482330373,0.8375550646364438,0.9137104046301354
0.54,adolescent_booster,Adolescent,1,0.9319810199608878,0.8687737449773014,0.9858242542061652
0.54,resistance_guided_treatment,Resistance mgmt,6,0.584976390138402,0.24380477025054725,0.7954736833260175
0.55,timeliness_only,Timeliness,0,NA,NA,NA
0.55,maternal_immunization,Infant exposure,3,0.8794405016329743,0.8375550646364438,0.9137104046301354
0.55,adolescent_booster,Adolescent,1,0.9331515250531764,0.8687737449773014,0.9858242542061652
0.55,resistance_guided_treatment,Resistance mgmt,6,0.5893236927271028,0.24380477025054725,0.7954736833260175
0.56,timeliness_only,Timeliness,0,NA,NA,NA
0.56,maternal_immunization,Infant exposure,3,0.880202055032911,0.8375550646364438,0.9137104046301354
0.56,adolescent_booster,Adolescent,1,0.9343220301454652,0.8687737449773014,0.9858242542061652
0.56,resistance_guided_treatment,Resistance mgmt,6,0.5936709953158039,0.24380477025054725,0.7954736833260175
0.57,timeliness_only,Timeliness,0,NA,NA,NA
0.57,maternal_immunization,Infant exposure,3,0.880963608432848,0.8375550646364438,0.9137104046301354
0.57,adolescent_booster,Adolescent,1,0.9354925352377538,0.8687737449773014,0.9858242542061652
0.57,resistance_guided_treatment,Resistance mgmt,6,0.5980182979045049,0.24380477025054725,0.7954736833260175
0.58,timeliness_only,Timeliness,0,NA,NA,NA
0.58,maternal_immunization,Infant exposure,3,0.8817251618327848,0.8375550646364438,0.9137104046301354
0.58,adolescent_booster,Adolescent,1,0.9366630403300424,0.8687737449773014,0.9858242542061652
0.58,resistance_guided_treatment,Resistance mgmt,6,0.6023656004932059,0.24380477025054725,0.7954736833260175
0.59,timeliness_only,Timeliness,0,NA,NA,NA
0.59,maternal_immunization,Infant exposure,3,0.8824867152327218,0.8375550646364438,0.9137104046301354
0.59,adolescent_booster,Adolescent,1,0.937833545422331,0.8687737449773014,0.9858242542061652
0.59,resistance_guided_treatment,Resistance mgmt,6,0.606712903081907,0.24380477025054725,0.7954736833260175
0.6,timeliness_only,Timeliness,0,NA,NA,NA
0.6,maternal_immunization,Infant exposure,3,0.8832482686326587,0.8375550646364438,0.9137104046301354
0.6,adolescent_booster,Adolescent,1,0.9390040505146195,0.8687737449773014,0.9858242542061652
0.6,resistance_guided_treatment,Resistance mgmt,6,0.611060205670608,0.24380477025054725,0.7954736833260175
0.61,timeliness_only,Timeliness,0,NA,NA,NA
0.61,maternal_immunization,Infant exposure,3,0.8840098220325957,0.8375550646364438,0.9137104046301354
0.61,adolescent_booster,Adolescent,1,0.9401745556069084,0.8687737449773014,0.9858242542061652
0.61,resistance_guided_treatment,Resistance mgmt,6,0.6154075082593089,0.24380477025054725,0.7954736833260175
0.62,timeliness_only,Timeliness,0,NA,NA,NA
0.62,maternal_immunization,Infant exposure,3,0.8847713754325326,0.8375550646364438,0.9137104046301354
0.62,adolescent_booster,Adolescent,1,0.9413450606991968,0.8687737449773014,0.9858242542061652
0.62,resistance_guided_treatment,Resistance mgmt,6,0.61975481084801,0.24380477025054725,0.7954736833260175
0.63,timeliness_only,Timeliness,0,NA,NA,NA
0.63,maternal_immunization,Infant exposure,3,0.8855329288324696,0.8375550646364438,0.9137104046301354
0.63,adolescent_booster,Adolescent,1,0.9425155657914857,0.8687737449773014,0.9858242542061652
0.63,resistance_guided_treatment,Resistance mgmt,6,0.6241021134367111,0.24380477025054725,0.7954736833260175
0.64,timeliness_only,Timeliness,0,NA,NA,NA
0.64,maternal_immunization,Infant exposure,3,0.8862944822324065,0.8375550646364438,0.9137104046301354
0.64,adolescent_booster,Adolescent,1,0.9436860708837742,0.8687737449773014,0.9858242542061652
0.64,resistance_guided_treatment,Resistance mgmt,6,0.628449416025412,0.24380477025054725,0.7954736833260175
0.65,timeliness_only,Timeliness,0,NA,NA,NA
0.65,maternal_immunization,Infant exposure,3,0.8870560356323434,0.8375550646364438,0.9137104046301354
0.65,adolescent_booster,Adolescent,1,0.9448565759760628,0.8687737449773014,0.9858242542061652
0.65,resistance_guided_treatment,Resistance mgmt,6,0.632796718614113,0.24380477025054725,0.7954736833260175
0.66,timeliness_only,Timeliness,0,NA,NA,NA
0.66,maternal_immunization,Infant exposure,3,0.8878175890322804,0.8375550646364438,0.9137104046301354
0.66,adolescent_booster,Adolescent,1,0.9460270810683516,0.8687737449773014,0.9858242542061652
0.66,resistance_guided_treatment,Resistance mgmt,6,0.6371440212028141,0.24380477025054725,0.7954736833260175
0.67,timeliness_only,Timeliness,0,NA,NA,NA
0.67,maternal_immunization,Infant exposure,3,0.8885791424322171,0.8375550646364438,0.9137104046301354
0.67,adolescent_booster,Adolescent,1,0.94719758616064,0.8687737449773014,0.9858242542061652
0.67,resistance_guided_treatment,Resistance mgmt,6,0.6414913237915152,0.24380477025054725,0.7954736833260175
0.68,timeliness_only,Timeliness,0,NA,NA,NA
0.68,maternal_immunization,Infant exposure,3,0.8893406958321541,0.8375550646364438,0.9137104046301354
0.68,adolescent_booster,Adolescent,1,0.9483680912529288,0.8687737449773014,0.9858242542061652
0.68,resistance_guided_treatment,Resistance mgmt,6,0.645838626380216,0.24380477025054725,0.7954736833260175
0.69,timeliness_only,Timeliness,0,NA,NA,NA
0.69,maternal_immunization,Infant exposure,3,0.8901022492320909,0.8375550646364438,0.9137104046301354
0.69,adolescent_booster,Adolescent,1,0.9495385963452174,0.8687737449773014,0.9858242542061652
0.69,resistance_guided_treatment,Resistance mgmt,6,0.6501859289689171,0.24380477025054725,0.7954736833260175
0.7,timeliness_only,Timeliness,0,NA,NA,NA
0.7,maternal_immunization,Infant exposure,3,0.8908638026320279,0.8375550646364438,0.9137104046301354
0.7,adolescent_booster,Adolescent,1,0.950709101437506,0.8687737449773014,0.9858242542061652
0.7,resistance_guided_treatment,Resistance mgmt,6,0.6545332315576182,0.24380477025054725,0.7954736833260175
0.71,timeliness_only,Timeliness,0,NA,NA,NA
0.71,maternal_immunization,Infant exposure,3,0.8916253560319648,0.8375550646364438,0.9137104046301354
0.71,adolescent_booster,Adolescent,1,0.9518796065297948,0.8687737449773014,0.9858242542061652
0.71,resistance_guided_treatment,Resistance mgmt,6,0.6588805341463191,0.24380477025054725,0.7954736833260175
0.72,timeliness_only,Timeliness,0,NA,NA,NA
0.72,maternal_immunization,Infant exposure,3,0.8923869094319018,0.8375550646364438,0.9137104046301354
0.72,adolescent_booster,Adolescent,1,0.9530501116220832,0.8687737449773014,0.9858242542061652
0.72,resistance_guided_treatment,Resistance mgmt,6,0.6632278367350202,0.24380477025054725,0.7954736833260175
0.73,timeliness_only,Timeliness,0,NA,NA,NA
0.73,maternal_immunization,Infant exposure,3,0.8931484628318387,0.8375550646364438,0.9137104046301354
0.73,adolescent_booster,Adolescent,1,0.954220616714372,0.8687737449773014,0.9858242542061652
0.73,resistance_guided_treatment,Resistance mgmt,6,0.6675751393237213,0.24380477025054725,0.7954736833260175
0.74,timeliness_only,Timeliness,0,NA,NA,NA
0.74,maternal_immunization,Infant exposure,3,0.8939100162317756,0.8375550646364438,0.9137104046301354
0.74,adolescent_booster,Adolescent,1,0.9553911218066606,0.8687737449773014,0.9858242542061652
0.74,resistance_guided_treatment,Resistance mgmt,6,0.6719224419124221,0.24380477025054725,0.7954736833260175
0.75,timeliness_only,Timeliness,0,NA,NA,NA
0.75,maternal_immunization,Infant exposure,3,0.8946715696317125,0.8375550646364438,0.9137104046301354
0.75,adolescent_booster,Adolescent,1,0.9565616268989492,0.8687737449773014,0.9858242542061652
0.75,resistance_guided_treatment,Resistance mgmt,6,0.6762697445011232,0.24380477025054725,0.7954736833260175
0.76,timeliness_only,Timeliness,0,NA,NA,NA
0.76,maternal_immunization,Infant exposure,3,0.8954331230316495,0.8375550646364438,0.9137104046301354
0.76,adolescent_booster,Adolescent,1,0.9577321319912376,0.8687737449773014,0.9858242542061652
0.76,resistance_guided_treatment,Resistance mgmt,6,0.6806170470898242,0.24380477025054725,0.7954736833260175
0.77,timeliness_only,Timeliness,0,NA,NA,NA
0.77,maternal_immunization,Infant exposure,3,0.8961946764315865,0.8375550646364438,0.9137104046301354
0.77,adolescent_booster,Adolescent,1,0.9589026370835264,0.8687737449773014,0.9858242542061652
