country,strategy,strategy_label,optimization_constraint,relative_reduction_infant_cases,non_dominated_outcome,preferred_in_constraint
South_Africa,adolescent_booster,Adolescent,program_only,0.8687737449773014,TRUE,TRUE
South_Africa,higher_child_coverage,Coverage,program_only,0.48607436537826165,FALSE,FALSE
South_Africa,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.16757265280005185,FALSE,FALSE
South_Africa,targeted_pep_high_risk,"Targeted
PEP",program_only,5.0064906524061e-4,FALSE,FALSE
South_Africa,timeliness_only,Timeliness,program_only,0.7349782311933357,FALSE,FALSE
South_Africa,cocooning_adjunct,"Adult/
contact",program_only,0.731169933882537,FALSE,FALSE
South_Africa,maternal_immunization,"Infant
exposure",program_only,0.7809488963213156,FALSE,FALSE
Sweden,adolescent_booster,Adolescent,program_only,-4.9077300986533e-4,FALSE,FALSE
Sweden,higher_child_coverage,Coverage,program_only,-0.00932524705526471,FALSE,FALSE
Sweden,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.10393144633144846,FALSE,FALSE
Sweden,targeted_pep_high_risk,"Targeted
PEP",program_only,0.00861334027472016,FALSE,FALSE
Sweden,timeliness_only,Timeliness,program_only,0.35653533846771845,TRUE,TRUE
Sweden,cocooning_adjunct,"Adult/
contact",program_only,0.19301279642693311,FALSE,FALSE
Sweden,maternal_immunization,"Infant
exposure",program_only,0.2766184270627424,TRUE,FALSE
Thailand,adolescent_booster,Adolescent,program_only,0.7036248946900096,FALSE,FALSE
Thailand,higher_child_coverage,Coverage,program_only,-0.08695049301339042,FALSE,FALSE
Thailand,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.16655947782913605,FALSE,FALSE
Thailand,targeted_pep_high_risk,"Targeted
PEP",program_only,0.06570573740386332,FALSE,FALSE
Thailand,timeliness_only,Timeliness,program_only,0.44999729266301947,FALSE,FALSE
Thailand,cocooning_adjunct,"Adult/
contact",program_only,0.8015077485780636,FALSE,FALSE
Thailand,maternal_immunization,"Infant
exposure",program_only,0.8305190307602044,TRUE,TRUE
United_Kingdom,adolescent_booster,Adolescent,program_only,-0.00731270489128865,FALSE,FALSE
United_Kingdom,higher_child_coverage,Coverage,program_only,-0.01653904328071376,FALSE,FALSE
United_Kingdom,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.10285849098792944,FALSE,FALSE
United_Kingdom,targeted_pep_high_risk,"Targeted
PEP",program_only,0.10038213908163708,FALSE,FALSE
United_Kingdom,timeliness_only,Timeliness,program_only,0.3063634626149949,TRUE,TRUE
United_Kingdom,cocooning_adjunct,"Adult/
contact",program_only,0.16072718722883006,FALSE,FALSE
United_Kingdom,maternal_immunization,"Infant
exposure",program_only,0.24670614346778977,TRUE,FALSE
United_States,adolescent_booster,Adolescent,program_only,-0.03269043435813446,FALSE,FALSE
United_States,higher_child_coverage,Coverage,program_only,-0.0593513856544583,FALSE,FALSE
United_States,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.12415262010205896,FALSE,FALSE
United_States,targeted_pep_high_risk,"Targeted
PEP",program_only,0.12026359054359526,FALSE,FALSE
United_States,timeliness_only,Timeliness,program_only,0.6014658287281041,FALSE,FALSE
United_States,cocooning_adjunct,"Adult/
contact",program_only,0.6937001174362811,FALSE,FALSE
United_States,maternal_immunization,"Infant
exposure",program_only,0.7367456290131391,TRUE,TRUE
Australia,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.17078433083907052,TRUE,FALSE
Brazil,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.5803559427360281,TRUE,FALSE
China,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.492710727967386,TRUE,FALSE
Japan,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.317934960154975,TRUE,FALSE
New_Zealand,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.2074183778122368,TRUE,FALSE
South_Africa,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.5644622721010414,TRUE,FALSE
Sweden,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.2804932364400756,TRUE,FALSE
Thailand,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.5180451514860078,TRUE,FALSE
United_Kingdom,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.22049738243176584,TRUE,FALSE
United_States,resistance_guided_treatment,"Resistance
mgmt",program_plus_resistance,0.5136056960256461,FALSE,FALSE
