country,outcome,posterior_median,credible_interval_low,credible_interval_high,posterior_draws
Japan,annualized_infections_per_100k,7383.45929792663,3253.789714027608,7980.325992917402,50
Japan,annualized_reported_cases_per_100k,16.2601242580201,9.832938634690722,68.23686116566539,50
Japan,annualized_infant_infections_per_100k,15244.349994611162,3709.6914048814624,25362.518150809865,50
Japan,resistant_fraction,0.9995184247811325,0.972172098438311,0.9999957065648644,50
Japan,resistant_fraction_end,0.9999819318057521,0.9997939484229426,0.9999997222502849,50
Japan,resistant_infections,210593674.69522458,95371252.07286954,233892689.2160123,50
New_Zealand,annualized_infant_cases_per_100k,9023.613779996083,2292.1305195767495,20756.641604286044,50
New_Zealand,annualized_infections_per_100k,7614.491040733537,3644.879718141319,9841.470336454267,50
New_Zealand,annualized_reported_cases_per_100k,24.689804479203346,16.64704891679397,60.15037424684074,50
New_Zealand,annualized_infant_infections_per_100k,19401.953133563853,4399.867959378716,46977.34019957314,50
New_Zealand,resistant_fraction,0.9811944976698814,0.9513988152529116,0.9966604848273075,50
New_Zealand,resistant_fraction_end,0.9998120668052486,0.9995342575818483,0.9999610101331141,50
New_Zealand,resistant_infections,10451275.481606176,5126800.073052235,14051386.106301669,50
South_Africa,annualized_infant_cases_per_100k,15095.552139855641,6568.924430223308,19250.18924206549,50
South_Africa,annualized_infections_per_100k,9625.222870488145,6641.651369209674,9814.10688829681,50
South_Africa,annualized_reported_cases_per_100k,114.36673159009034,23.9904703430862,724.7091273139627,50
South_Africa,annualized_infant_infections_per_100k,28296.22160045292,10694.278435176348,32804.56874120746,50
South_Africa,resistant_fraction,0.9883292403540687,0.9781501058257754,0.9964518691920623,50
South_Africa,resistant_fraction_end,0.999953177521562,0.9999414980630222,0.999964688020385,50
South_Africa,resistant_infections,179772974.06802106,125124517.81086175,183540521.24012014,50
Sweden,annualized_infant_cases_per_100k,5725.5117366805225,2837.3764851414035,14383.34577320132,50
Sweden,annualized_infections_per_100k,5908.688876710837,4104.593166144639,9046.35044020873,50
Sweden,annualized_reported_cases_per_100k,9.300665875545754,5.6130683976572335,14.324018278074448,50
Sweden,annualized_infant_infections_per_100k,12413.539137118354,6086.517216524118,32067.12710201048,50
Sweden,resistant_fraction,0.9909909550082101,0.9473696067962509,0.9974416182078366,50
Sweden,resistant_fraction_end,0.9999159987221409,0.9997444865692519,0.9999565039754296,50
Sweden,resistant_infections,16756720.524492979,11582174.667805996,24890926.72664823,50
Thailand,annualized_infant_cases_per_100k,9033.80525295724,130.22186437336057,12213.622201790755,50
Thailand,annualized_infections_per_100k,7470.26466250591,281.7180503703807,8210.049697978999,50
Thailand,annualized_reported_cases_per_100k,6.4225449281024884,1.3062109923746492,60.02297404064446,50
Thailand,annualized_infant_infections_per_100k,18320.132563373685,243.7023393090544,22667.64684748906,50
Thailand,resistant_fraction,0.9891165601007219,0.9608272664113283,0.9990155139195734,50
Thailand,resistant_fraction_end,0.9997437744504567,0.9888841022720664,0.9998874586457587,50
Thailand,resistant_infections,132982669.46627429,4976641.124334424,147250645.12114,50
United_Kingdom,annualized_infant_cases_per_100k,4295.398000946062,1766.4011453317391,7206.533143916204,50
United_Kingdom,annualized_infections_per_100k,4960.613497355129,2808.037680611581,6554.667859685206,50
United_Kingdom,annualized_reported_cases_per_100k,10.602518571748568,7.38835916205387,104.92156285508058,50
United_Kingdom,annualized_infant_infections_per_100k,9079.825853840042,3677.118735463446,14606.890657628932,50
United_Kingdom,resistant_fraction,0.9788322466249402,0.9568510839724037,0.9891844958123391,50
United_Kingdom,resistant_fraction_end,0.9997465231313113,0.9993625026280569,0.9999064413789048,50
United_Kingdom,resistant_infections,92079206.49329177,51742287.246214956,121257191.75705123,50
United_States,annualized_infant_cases_per_100k,13007.984047555263,847.6443419875322,20707.748056531505,50
United_States,annualized_infections_per_100k,8872.96584964732,1745.8020573350082,9891.87052815025,50
United_States,annualized_reported_cases_per_100k,12.388697803279829,3.849716771831535,99.02981650477662,50
United_States,annualized_infant_infections_per_100k,29000.574012347868,1596.1121339294718,41776.552353751176,50
United_States,resistant_fraction,0.9851805011079264,0.2406761048425892,0.9936516955134945,50
United_States,resistant_fraction_end,0.9999373985329418,0.9977796079823213,0.9999695384768057,50
United_States,resistant_infections,776434446.8848162,107775084.8741997,922614808.0123184,50
