country,outcome,parameter_variance,stochastic_variance,total_variance,parameter_variance_share
Japan,annualized_infant_cases_per_100k,13823.575421587733,770839.5980543265,784663.1734759142,0.017617209382150337
Japan,annualized_infant_infections_per_100k,76997.21035519558,2864940.621903441,2941937.8322586366,0.026172276487597266
Japan,total_infections,14068649900870.803,1363335582174100.0,1377404232074970.8,0.010213886071540007
Japan,total_reported_cases,7258484785.561045,155936647619.06467,163195132404.6257,0.044477336294347136
Japan,total_infant_cases,505586181.9300187,28117721597.30655,28623307779.23657,0.017663443576453886
Japan,total_infant_infections,2578889487.716623,106233614911.46031,108812504399.17694,0.023700304500446086
Japan,resistant_infections,57480416719907.445,1146359768962236.5,1203840185682144.0,0.04774754772564495
New_Zealand,annualized_infections_per_100k,116854.60407970448,1934374.2306210252,2051228.8347007297,0.05696809741695804
New_Zealand,annualized_reported_cases_per_100k,9.95279926589781,294.61839606367556,304.57119532957336,0.03267807139518886
New_Zealand,annualized_infant_cases_per_100k,127224.75590204095,882087.7192282729,1009312.4751303139,0.12605090993808907
New_Zealand,annualized_infant_infections_per_100k,607768.2625241758,3756841.2382906717,4364609.500814848,0.13924917278641055
New_Zealand,total_infections,241912430431.47787,3998371278442.518,4240283708873.996,0.0570510010745761
New_Zealand,total_reported_cases,19670509.123608783,615150896.7839992,634821405.907608,0.030985894521760395
New_Zealand,total_infant_cases,25061533.484025087,177761660.29635403,202823193.78037912,0.1235634496080473
New_Zealand,total_infant_infections,122955996.34369309,757822858.1783528,880778854.522046,0.13959916920395993
New_Zealand,resistant_infections,299238079964.2631,33341075137.28938,332579155101.5525,0.8997499553839785
South_Africa,annualized_infections_per_100k,128931.34902754126,1728544.6529361957,1857476.001963737,0.0694121210132643
South_Africa,annualized_reported_cases_per_100k,1102.6616671728912,1580.3450088846394,2683.0066760575305,0.4109798447438702
South_Africa,annualized_infant_cases_per_100k,97343.30193820498,669798.123509906,767141.425448111,0.12689094697414333
South_Africa,annualized_infant_infections_per_100k,395470.6465093467,2083157.6893370952,2478628.335846442,0.1595522171638109
South_Africa,total_infections,48337439905644.484,613490370302072.5,661827810207717.0,0.0730362779564576
South_Africa,total_reported_cases,405540725119.3836,566220452576.2365,971761177695.6201,0.4173255059242643
South_Africa,total_infant_cases,7561067101.135649,53169559615.16336,60730626716.29901,0.12450171371451357
South_Africa,total_infant_infections,28310303191.686966,164250413331.37845,192560716523.06543,0.14702013838993938
South_Africa,resistant_infections,49457893731699.44,547779274620938.06,597237168352637.5,0.08281114497297516
Sweden,annualized_infections_per_100k,118405.9813446631,2892888.755476039,3011294.736820702,0.03932062175676469
Sweden,annualized_reported_cases_per_100k,0.2654842251343004,12.780534052768067,13.046018277902368,0.020349827777260087
Sweden,annualized_infant_cases_per_100k,194850.92549901622,1727759.8891052643,1922610.8146042805,0.10134704539208639
Sweden,annualized_infant_infections_per_100k,915818.3309525395,7918306.6908969525,8834125.021849493,0.10366825562095178
Sweden,total_infections,999770255204.8787,23043544243753.594,24043314498958.473,0.041582047901431704
Sweden,total_reported_cases,1873823.2981789378,102562805.63541482,104436628.93359376,0.017942203969168825
Sweden,total_infant_cases,130306307.03614877,1123896970.983934,1254203278.0200827,0.10389568367406408
Sweden,total_infant_infections,603018993.1718658,5071128427.610012,5674147420.7818775,0.10627481953734151
Sweden,resistant_infections,291578029.9765593,73211772.77714397,364789802.75370324,0.7993042233514003
Thailand,annualized_infections_per_100k,83128.34136006325,1235323.076475145,1318451.4178352084,0.06304998442532932
Thailand,annualized_reported_cases_per_100k,5293.92627835528,684.3965579532374,5978.322836308518,0.8855203078367314
Thailand,annualized_infant_cases_per_100k,62934.91391952348,544554.2235316815,607489.1374512049,0.10359841853892997
Thailand,annualized_infant_infections_per_100k,271272.6521095182,1917098.0214887548,2188370.6735982727,0.12396101601173107
Thailand,total_infections,26609846887398.89,409752337345139.5,436362184232538.4,0.06098110204989359
Thailand,total_reported_cases,1682875065716.0723,215824737495.23367,1898699803211.306,0.8863302470826587
